id,x,y,z,Punch 
115,11.58126163482666,-0.8231309652328491,0.9308080077171326,Upper-cut
116,11.193624496459961,-0.727418065071106,0.8877372145652771,Upper-cut
117,10.660024642944336,-0.9954141974449158,0.8350951075553894,Upper-cut
118,10.435099601745605,-1.2897313833236694,0.8949156403541565,Upper-cut
119,10.51645565032959,-1.5122638940811157,1.215553879737854,Upper-cut
120,10.652846336364746,-1.648654818534851,1.643869161605835,Upper-cut
121,10.717453002929688,-1.7132610082626343,1.8999011516571045,Upper-cut
122,10.85145092010498,-1.770688772201538,2.007578134536743,Upper-cut
123,10.971092224121094,-1.856830358505249,1.9932212829589844,Upper-cut
124,11.011770248413086,-1.9142581224441528,1.7682958841323853,Upper-cut
125,10.923234939575195,-1.679761528968811,1.4763715267181396,Upper-cut
126,10.686346054077148,-1.3280165195465088,1.0671988725662231,Upper-cut
127,10.403992652893066,-0.9284151792526245,0.7680960893630981,Upper-cut
128,10.26760196685791,-0.7082754969596863,0.6556333899497986,Upper-cut
129,10.301101684570312,-0.7776673436164856,0.8662018179893494,Upper-cut
130,10.334601402282715,-1.0528420209884644,1.2035897970199585,Upper-cut
131,10.327422142028809,-1.3495519161224365,1.423729419708252,Upper-cut
132,10.284351348876953,-1.5481562614440918,1.5649060010910034,Upper-cut
133,10.26760196685791,-1.5433706045150757,1.6199408769607544,Upper-cut
134,10.341779708862305,-1.3280165195465088,1.6079767942428589,Upper-cut
135,10.418350219726562,-0.9643075466156006,1.4763715267181396,Upper-cut
136,10.104889869689941,-0.519242525100708,1.3256237506866455,Upper-cut
137,9.884750366210938,-0.5000999569892883,1.3950155973434448,Upper-cut
138,9.760323524475098,-0.6173482537269592,1.5409778356552124,Upper-cut
139,9.757930755615234,-0.7345965504646301,1.6917256116867065,Upper-cut
140,9.884750366210938,-0.8159525394439697,1.8616160154342651,Upper-cut
141,9.966106414794922,-0.8374879360198975,1.9692929983139038,Upper-cut
142,9.992427825927734,-0.8350951075553894,1.9214365482330322,Upper-cut
143,9.927821159362793,-0.8614161610603333,1.7826528549194336,Upper-cut
144,9.78664493560791,-0.97148597240448,1.6630117893218994,Upper-cut
145,9.67657470703125,-1.074377417564392,1.581655740737915,Upper-cut
146,9.671789169311523,-1.1150553226470947,1.7180466651916504,Upper-cut
147,9.667003631591797,-1.0265209674835205,1.8975083827972412,Upper-cut
148,9.731609344482422,-1.0097711086273193,1.9860427379608154,Upper-cut
149,9.822537422180176,-1.0528420209884644,1.954936146736145,Upper-cut
150,9.829715728759766,-1.179661512374878,1.8999011516571045,Upper-cut
151,9.860821723937988,-1.2921242713928223,1.8305093050003052,Upper-cut
152,13.830514907836914,-2.7828526496887207,-0.17946170270442963,Upper-cut
153,9.667003631591797,-1.8137595653533936,0.6675975322723389,Upper-cut
154,9.052047729492188,-0.23449662327766418,0.42352959513664246,Upper-cut
155,9.927821159362793,-0.1459621787071228,2.0099709033966064,Upper-cut
156,11.186446189880371,-2.6536402702331543,2.6871397495269775,Upper-cut
157,10.116853713989258,-2.6560330390930176,2.6536402702331543,Upper-cut
158,-8.906085968017578,2.4023938179016113,1.6773686408996582,Hook
159,-8.865407943725586,2.4358935356140137,1.5840486288070679,Hook
160,-8.8438720703125,2.4885356426239014,1.5194423198699951,Hook
161,-8.889336585998535,2.59621262550354,1.5194423198699951,Hook
162,-8.93240737915039,2.5674986839294434,1.6558332443237305,Hook
163,-8.891729354858398,2.5387847423553467,1.8759729862213135,Hook
164,-8.798408508300781,2.589034080505371,1.9716858863830566,Hook
165,-8.662017822265625,2.730210542678833,2.0195422172546387,Hook
166,-8.482556343078613,2.888136863708496,2.038684844970703,Hook
167,-8.365307807922363,2.998206853866577,1.9884356260299683,Hook
168,-8.274380683898926,3.19441819190979,1.9836499691009521,Hook
169,-8.207381248474121,3.404986619949341,1.9860427379608154,Hook
170,-8.133204460144043,3.5030922889709473,1.9645073413848877,Hook
171,-8.104490280151367,3.438486099243164,2.0027925968170166,Hook
172,-8.039883613586426,3.1345977783203125,2.0554347038269043,Hook
173,-7.893921852111816,2.8450660705566406,2.1272194385528564,Hook
174,-7.70967435836792,2.6225335597991943,2.218146562576294,Hook
175,-7.417750358581543,2.4909284114837646,2.3569302558898926,Hook
176,-7.1473612785339355,2.4191436767578125,2.438286304473877,Hook
177,-6.9344000816345215,2.3784656524658203,2.5387847423553467,Hook
178,-7.109076023101807,2.416750907897949,2.6249263286590576,Hook
179,-7.7216386795043945,2.328216314315796,2.7732813358306885,Hook
180,-8.317451477050781,2.3090739250183105,3.0867412090301514,Hook
181,-8.700303077697754,2.392822742462158,3.3571300506591797,Hook
182,-9.169296264648438,2.421536445617676,3.493520975112915,Hook
183,-9.54496955871582,2.562713146209717,3.7088751792907715,Hook
184,-9.757930755615234,2.8666014671325684,3.955335855484009,Hook
185,-9.949356079101562,3.28773832321167,4.144368648529053,Hook
186,-10.068997383117676,3.601198196411133,4.252045631408691,Hook
187,-9.934999465942383,3.799802303314209,4.213760852813721,Hook
188,-9.547362327575684,4.029513359069824,4.022335052490234,Hook
189,-9.020941734313965,4.275974273681641,3.6059837341308594,Hook
190,-8.286344528198242,4.479363918304443,3.1968109607696533,Hook
191,-7.467999458312988,4.615755081176758,2.7876384258270264,Hook
192,-6.752545356750488,4.560719966888428,2.297109842300415,Hook
193,-6.029912948608398,4.603790760040283,1.5026925802230835,Hook
194,-5.285745143890381,4.8502516746521,0.11006984114646912,Hook
195,-4.895715236663818,5.2283172607421875,-2.053041934967041,Hook
196,-4.737788677215576,5.795416355133057,-4.019941806793213,Hook
197,-4.644468784332275,6.606583118438721,-5.539384365081787,Hook
198,-4.744967460632324,7.968099594116211,-6.453442573547363,Hook
199,-5.216353416442871,9.346364974975586,-6.876972198486328,Hook
200,-6.123233318328857,10.621739387512207,-6.953542709350586,Hook
201,-7.767102241516113,11.248659133911133,-6.628118515014648,Hook
202,-9.994820594787598,11.380264282226562,-5.709274768829346,Hook
203,-12.265608787536621,11.258230209350586,-4.555934429168701,Hook
204,-15.026926040649414,11.562119483947754,-3.8763725757598877,Hook
205,-18.75494384765625,12.06221866607666,-3.5437703132629395,Hook
206,-22.6959228515625,12.378071784973145,-1.6271194219589233,Hook
207,-27.400211334228516,13.59362506866455,1.373480200767517,Hook
208,-31.67379379272461,16.89093589782715,5.036891460418701,Hook
209,-35.093135833740234,20.173887252807617,8.779266357421875,Hook
